The Passphrase Is Strong With This One
A Star Wars-inspired Wordlist
This wordlist was created by identifying the unique words in some of the most popular user-created pages at FANDOM's starwars.wikia.com. They are numbered to correspond with three roles of a 20-sided die. 
The list was created by the Electronic Frontier Foundation and maybe freely distributed use under the Creative Commons Attribution 3.0 United States license.
Any trademarks within the word list are the property of their respective trademark holders, who are not affiliated with the Electronic Frontier Foundation and do not sponsor or endorse these passwords.
1-1-1 aided
1-1-2 child
8-8-18 arriving
8-8-19 cin
8-8-20 planet
8-9-1 accustomed
8-9-2 psychologically
8-9-3 similar
8-9-4 called
8-9-5 ordered
8-9-6 hesitates
8-9-7 defined
8-9-8 overland
8-9-9 influence
8-9-10 outweighs
8-9-11 proclaimed
8-9-12 single
8-9-13 warning
8-9-14 ablaze
8-9-15 graceful
8-9-16 guardians
8-9-17 aflame
8-9-18 thugs
8-9-19 españa
8-9-20 calm
8-10-1 corners
8-10-2 fixing
8-10-3 peace
8-10-4 fears
8-10-5 backs
8-10-6 overshoots
8-10-7 awoke
8-10-8 coded
8-10-9 income
8-10-10 retract
8-10-11 freighter
8-10-12 sails
8-10-13 dashes
8-10-14 smiles
8-10-15 draw
8-10-16 elements
8-10-17 reestablished
8-10-18 hot-wires
8-10-19 problems
8-10-20 visits
8-11-1 occurred
8-11-2 helping
8-11-3 tatooine
8-11-4 drag
8-11-5 slice
8-11-6 allowing
8-11-7 utterly
8-11-8 prepares
8-11-9 fends
8-11-10 cooperate
8-11-11 desert
8-11-12 structure
8-11-13 ago
8-11-14 gloatingly
8-11-15 land
8-11-16 fighter
8-11-17 disbelief
8-11-18 overlooking
8-11-19 vice
8-11-20 rescued
8-12-1 required
8-12-2 humiliated
8-12-3 consumes
8-12-4 impatient
8-12-5 frees
8-12-6 departs
8-12-7 implied
8-12-8 came
8-12-9 demonstrates
8-12-10 walker
8-12-11 failures
8-12-12 pyre
8-12-13 menace
8-12-14 requires
8-12-15 having
8-12-16 once
8-12-17 man-eating
8-12-18 regroup
8-12-19 antoc
8-12-20 partial
8-13-1 planetary
8-13-2 rants
8-13-3 green
8-13-4 results
8-13-5 cobalt
8-13-6 steve
8-13-7 gang
8-13-8 loyalty
8-13-9 windu
8-13-10 cody
8-13-11 landers
8-13-12 breached
8-13-13 gold
8-13-14 disabling
8-13-15 concerned
8-13-16 departing
8-13-17 young
8-13-18 send
8-13-19 citing
8-13-20 breaches
8-14-1 squeezing
8-14-2 stable
8-14-3 exit
8-14-4 topples
8-14-5 fatal
8-14-6 sent
8-14-7 confirmation
8-14-8 seized
8-14-9 torture
8-14-10 pleads
8-14-11 listed
8-14-12 continues
8-14-13 conditions
8-14-14 wave
8-14-15 asset
8-14-16 wishes
8-14-17 putting
8-14-18 chooses
8-14-19 telling
8-14-20 drinking
8-15-1 continued
8-15-2 wipe
8-15-3 entire
8-15-4 magic
8-15-5 exits
8-15-6 transmission
8-15-7 knight
8-15-8 button
8-15-9 shock
8-15-10 try
8-15-11 neimoidia
8-15-12 race
8-15-13 kit
8-15-14 freed
8-15-15 inspection
8-15-16 joey
8-15-17 pleas
8-15-18 someday
8-15-19 recklessness
8-15-20 bleeding
8-16-1 finn
8-16-2 free-fall
8-16-3 waking
8-16-4 jump
8-16-5 howls
8-16-6 imply
8-16-7 video
8-16-8 traveling
8-16-9 picked
8-16-10 nominates
8-16-11 initiate
8-16-12 plays
8-16-13 business
8-16-14 rate
8-16-15 giving
8-16-16 saw
8-16-17 schedule
8-16-18 dengar
8-16-19 access
8-16-20 paying
8-17-1 waiting
8-17-2 experiment
8-17-3 twins
8-17-4 pleading
8-17-5 capital
8-17-6 expresses
8-17-7 body
8-17-8 drallig
8-17-9 led
8-17-10 barc
8-17-11 exchange
8-17-12 deduces
8-17-13 communicate
8-17-14 gathered
8-17-15 pushing
8-17-16 defector
8-17-17 following
8-17-18 let
8-17-19 healing
8-17-20 others
8-18-1 ewok
8-18-2 kidnapped
8-18-3 extreme
8-18-4 capsules
8-18-5 great
8-18-6 engage
8-18-7 stalks
8-18-8 broken
8-18-9 receive
8-18-10 involved
8-18-11 larger
8-18-12 titanic
8-18-13 leaving
8-18-14 evading
8-18-15 resulting
8-18-16 enfys
8-18-17 submerged
8-18-18 melee
8-18-19 climb
8-18-20 behead
8-19-1 makes
8-19-2 honor
8-19-3 fulfill
8-19-4 named
8-19-5 blizzard
8-19-6 danger
8-19-7 win
8-19-8 manage
8-19-9 private
8-19-10 respirator
8-19-11 reprimands
8-19-12 formulates
8-19-13 calrissian
8-19-14 yavin
8-19-15 destabilize
8-19-16 cloud
8-19-17 announced
8-19-18 standing
8-19-19 use
8-19-20 from
8-20-1 hears
8-20-2 blockaded
8-20-3 remains
8-20-4 next
8-20-5 few
8-20-6 depicted
8-20-7 asteroid
8-20-8 estimated
8-20-9 vehicle
8-20-10 congratulates
8-20-11 themselves
8-20-12 panel
8-20-13 dreams
8-20-14 possession
8-20-15 gained
8-20-16 recalibrate
8-20-17 formally
8-20-18 seals
8-20-19 becomes
8-20-20 benthic
9-1-1 sister
9-1-2 missile
9-1-3 dealings
9-1-4 carrying
9-1-5 baby
9-1-6 tearing
9-1-7 iii
9-1-8 potential
9-1-9 minions
9-1-10 justin
9-1-11 majority
9-1-12 crosses
9-1-13 jettisoned
9-1-14 announcing
9-1-15 locks
9-1-16 this
9-1-17 ride
9-1-18 linger
9-1-19 insists
9-1-20 wastes
9-2-1 thin
9-2-2 executor
9-2-3 meet
9-2-4 drops
9-2-5 grin
9-2-6 coffin
9-2-7 control
9-2-8 wedge
9-2-9 patrol
9-2-10 council
9-2-11 links
9-2-12 escapes
9-2-13 process
9-2-14 lock
9-2-15 pieces
9-2-16 escaped
9-2-17 effectively
9-2-18 pulling
9-2-19 something
9-2-20 sought
9-3-1 stories
9-3-2 serial
9-3-3 contempt
9-3-4 hangar
9-3-5 dodonna
9-3-6 fett
9-3-7 docking
9-3-8 regains
9-3-9 sit
9-3-10 destroying
9-3-11 permission
9-3-12 struggles
9-3-13 anakin
9-3-14 reorganized
9-3-15 located
9-3-16 forest
9-3-17 bark
9-3-18 holdo
9-3-19 instead
9-3-20 weakened
9-4-1 panic
9-4-2 administrator
9-4-3 furiously
9-4-4 aspiring
9-4-5 stop
9-4-6 incompetence
9-4-7 await
9-4-8 collection
9-4-9 united
9-4-10 urges
9-4-11 ties
9-4-12 improvises
9-4-13 realized
9-4-14 introduced
9-4-15 democracy
9-4-16 light
9-4-17 counter
9-4-18 lines
9-4-19 interrupted
9-4-20 element
9-5-1 prays
9-5-2 re-open
9-5-3 baze
9-5-4 realizes
9-5-5 allow
9-5-6 furious
9-5-7 subsequently
9-5-8 tactical
9-5-9 fastest
9-5-10 ignite
9-5-11 holds
9-5-12 producer
9-5-13 tribe
9-5-14 astronomical
9-5-15 move
9-5-16 breha
9-5-17 perturbed
9-5-18 whilst
9-5-19 alliance
9-5-20 including
9-6-1 looks
9-6-2 mentioned
9-6-3 interpreter
9-6-4 interceptor
9-6-5 onboard
9-6-6 galaxy
9-6-7 superior
9-6-8 outer
9-6-9 bazine
9-6-10 chosen
9-6-11 broom
9-6-12 glee
9-6-13 ships
9-6-14 banquet
9-6-15 meantime
9-6-16 willing
9-6-17 youngster
9-6-18 inspecting
9-6-19 covered
9-6-20 criminal
9-7-1 crash
9-7-2 animal
9-7-3 belch
9-7-4 undoing
9-7-5 dak
9-7-6 mention
9-7-7 spikes
9-7-8 ksour
9-7-9 kiss
9-7-10 hands
9-7-11 front
9-7-12 insisting
9-7-13 crash-lands
9-7-14 flee
9-7-15 wampa
9-7-16 successor
9-7-17 masters
9-7-18 speaks
9-7-19 lightmaker
9-7-20 edit
9-8-1 warned
9-8-2 ackbar
9-8-3 begs
9-8-4 merge
9-8-5 transmitted
9-8-6 trap
9-8-7 truth
9-8-8 repulses
9-8-9 accompanied
9-8-10 beneath
9-8-11 tray
9-8-12 legions
9-8-13 studios
9-8-14 activate
9-8-15 dreaming
9-8-16 cleaving
9-8-17 society
9-8-18 books
9-8-19 thirteen
9-8-20 firepower
9-9-1 our
9-9-2 code
9-9-3 tenth
9-9-4 special
9-9-5 out
9-9-6 secretly
9-9-7 rey
9-9-8 armor
9-9-9 announces
9-9-10 defend
9-9-11 crash-land
9-9-12 carbonization
9-9-13 chaos
9-9-14 herded
9-9-15 raymus
9-9-16 upset
9-9-17 appeals
9-9-18 mate
9-9-19 ren
9-9-20 evacuation
9-10-1 herder
9-10-2 intervention
9-10-3 stun
9-10-4 dive
9-10-5 despairing
9-10-6 shut
9-10-7 cloud-riders
9-10-8 approached
9-10-9 retrieved
9-10-10 reacts
9-10-11 maintains
9-10-12 galaxies
9-10-13 promptly
9-10-14 prodded
9-10-15 approaches
9-10-16 surely
9-10-17 fathier
9-10-18 starfighters
9-10-19 tempt
9-10-20 cadera
9-11-1 afterward
9-11-2 legends
9-11-3 comrade
9-11-4 overtake
9-11-5 organic
9-11-6 her
9-11-7 mesmerized
9-11-8 boarded
9-11-9 could
9-11-10 scars
9-11-11 keep
9-11-12 conversation
9-11-13 shred
9-11-14 removing
9-11-15 retain
9-11-16 rumored
9-11-17 relays
9-11-18 mad
9-11-19 infantryman
9-11-20 distracted
9-12-1 escorts
9-12-2 succeeds
9-12-3 yells
9-12-4 scene
9-12-5 reaches
9-12-6 echo
9-12-7 facility
9-12-8 chewie
9-12-9 trenches
9-12-10 reached
9-12-11 imperial
9-12-12 geonosian
9-12-13 rushes
9-12-14 ancient
9-12-15 swept
9-12-16 ordering
9-12-17 unknown
9-12-18 demonstration
9-12-19 chased
9-12-20 system
9-13-1 adopted
9-13-2 retreats
9-13-3 their
9-13-4 attack
9-13-5 intelligence
9-13-6 pamlo
9-13-7 chases
9-13-8 final
9-13-9 futile
9-13-10 accompany
9-13-11 gear
9-13-12 academy
9-13-13 completed
9-13-14 exactly
9-13-15 bombers
9-13-16 manifestation
9-13-17 herself
9-13-18 commence
9-13-19 badlands
9-13-20 loved
9-14-1 colleagues
9-14-2 ben
9-14-3 slack
9-14-4 split
9-14-5 reacted
9-14-6 screeching
9-14-7 claim
9-14-8 orchestrated
9-14-9 loves
9-14-10 lover
9-14-11 negatively
9-14-12 amidala
9-14-13 torrent
9-14-14 false
9-14-15 thwarted
9-14-16 neutralize
9-14-17 felucia
9-14-18 seville
9-14-19 tide
9-14-20 case
9-15-1 alerted
9-15-2 suns
9-15-3 defending
9-15-4 have
9-15-5 chambers
9-15-6 need
9-15-7 apparently
9-15-8 biggs
9-15-9 afraid
9-15-10 angle
9-15-11 inform
9-15-12 pursued
9-15-13 confesses
9-15-14 enough
9-15-15 able
9-15-16 gravity
9-15-17 battles
9-15-18 gunner
9-15-19 demolished
9-15-20 astride
9-16-1 which
9-16-2 stormtrooper
9-16-3 battled
9-16-4 competence
9-16-5 medals
9-16-6 lectures
9-16-7 unless
9-16-8 combat
9-16-9 knees
9-16-10 who
9-16-11 procure
9-16-12 intentions
9-16-13 connected
9-16-14 demise
9-16-15 device
9-16-16 why
9-16-17 clasp
9-16-18 so-called
9-16-19 deny
9-16-20 gullet
9-17-1 ignites
9-17-2 warrick
9-17-3 ensues
9-17-4 request
9-17-5 disengages
9-17-6 face
9-17-7 surrender
9-17-8 ignited
9-17-9 tambor
9-17-10 rendezvous
9-17-11 wounded
9-17-12 fact
9-17-13 violation
9-17-14 telepathically
9-17-15 agreed
9-17-16 automated
9-17-17 overwhelmed
9-17-18 bring
9-17-19 traitor
9-17-20 soldiers
9-18-1 fear
9-18-2 agrees
9-18-3 staff
9-18-4 taps
9-18-5 filmed
9-18-6 knowledge
9-18-7 comfort
9-18-8 halves
9-18-9 jar
9-18-10 hyperspace
9-18-11 should
9-18-12 jan
9-18-13 rendering
9-18-14 indeed
9-18-15 fuel
9-18-16 riding
9-18-17 dooku
9-18-18 thousands
9-18-19 hope
9-18-20 meant
9-19-1 topple
9-19-2 watching
9-19-3 mainly
9-19-4 photography
9-19-5 massacre
9-19-6 comlink
9-19-7 vehicles
9-19-8 beam
9-19-9 stars
9-19-10 joins
9-19-11 penetrate
9-19-12 argues
9-19-13 defenseless
9-19-14 unauthorized
9-19-15 ended
9-19-16 encounters
9-19-17 kessel
9-19-18 calling
9-19-19 she
9-19-20 describes
9-20-1 cells
9-20-2 view
9-20-3 spotted
9-20-4 incinerates
9-20-5 accuses
9-20-6 terrain
9-20-7 packet
9-20-8 freeze
9-20-9 intensity
9-20-10 computer
9-20-11 reinforcements
9-20-12 dissipate
9-20-13 desperate
9-20-14 converting
9-20-15 sleeping
9-20-16 sanity
9-20-17 waterworld
9-20-18 creating
9-20-19 closer
9-20-20 closes
10-1-1 wire
10-1-2 accusations
10-1-3 destiny
10-1-4 attempting
10-1-5 partisan
10-1-6 monstrous
10-1-7 marshy
10-1-8 favor
10-1-9 state
10-1-10 convince
10-1-11 taunting
10-1-12 deactivates
10-1-13 carkoon
10-1-14 neither
10-1-15 pistol
10-1-16 frustrated
10-1-17 sold
10-1-18 bought
10-1-19 ends
10-1-20 ability
10-2-1 opening
10-2-2 hutt
10-2-3 gunships
10-2-4 deliver
10-2-5 regretful
10-2-6 tobias
10-2-7 fisto
10-2-8 antechamber
10-2-9 probing
10-2-10 approval
10-2-11 swift
10-2-12 jon
10-2-13 staring
10-2-14 commands
10-2-15 vaneé
10-2-16 taking
10-2-17 ramp
10-2-18 devastator
10-2-19 powerless
10-2-20 admit
10-3-1 figures
10-3-2 netal
10-3-3 volley
10-3-4 safely
10-3-5 invites
10-3-6 intending
10-3-7 withdraws
10-3-8 vent
10-3-9 torn
10-3-10 mimban
10-3-11 extent
10-3-12 ambushed
10-3-13 harpoons
10-3-14 venator-class
10-3-15 upfront
10-3-16 high
10-3-17 ambushes
10-3-18 invisible
10-3-19 laugh
10-3-20 deflected
10-4-1 confronts
10-4-2 beach
10-4-3 nomination
10-4-4 lies
10-4-5 mourning
10-4-6 kenobi
10-4-7 powered
10-4-8 hunters
10-4-9 immortality
10-4-10 responds
10-4-11 apologize
10-4-12 thieves
10-4-13 slowly
10-4-14 enforcer
10-4-15 waste
10-4-16 troopers
10-4-17 choose
10-4-18 senses
10-4-19 finishes
10-4-20 stationed
10-5-1 adjourns
10-5-2 route
10-5-3 interrupts
10-5-4 thrusting
10-5-5 essentially
10-5-6 finished
10-5-7 ensuring
10-5-8 rock-carved
10-5-9 cellblock
10-5-10 smoking
10-5-11 fellow
10-5-12 spain
10-5-13 volunteer
10-5-14 troubled
10-5-15 atmospheric
10-5-16 wily
10-5-17 unlike
10-5-18 fearful
10-5-19 plain
10-5-20 triggers
10-6-1 will
10-6-2 oung
10-6-3 hovering
10-6-4 scatter
10-6-5 wild
10-6-6 asperations
10-6-7 at-at
10-6-8 instantly
10-6-9 maul
10-6-10 piloting
10-6-11 sith
10-6-12 noticed
10-6-13 almost
10-6-14 insanely
10-6-15 thus
10-6-16 site
10-6-17 surface
10-6-18 adventures
10-6-19 helped
10-6-20 draining
10-7-1 dryden
10-7-2 gunship
10-7-3 partner
10-7-4 sits
10-7-5 greater
10-7-6 orbital
10-7-7 capture
10-7-8 denial
10-7-9 sympathizer
10-7-10 little
10-7-11 began
10-7-12 member
10-7-13 guns
10-7-14 parts
10-7-15 rebo
10-7-16 tumbles
10-7-17 shuttle
10-7-18 party
10-7-19 gets
10-7-20 difficult
10-8-1 injured
10-8-2 tighten
10-8-3 ball
10-8-4 slave
10-8-5 vander
10-8-6 abyss
10-8-7 eccentric
10-8-8 reporting
10-8-9 upon
10-8-10 beast
10-8-11 ion
10-8-12 stasis-pod
10-8-13 sagged
10-8-14 student
10-8-15 injures
10-8-16 fierce
10-8-17 judgment
10-8-18 identity
10-8-19 destruction
10-8-20 insure
10-9-1 binks
10-9-2 off
10-9-3 center
10-9-4 nevertheless
10-9-5 disappears
10-9-6 weapon
10-9-7 arrival
10-9-8 fighting
10-9-9 bohdi
10-9-10 thought
10-9-11 cutting
10-9-12 command
10-9-13 personnel
10-9-14 sets
10-9-15 position
10-9-16 wreckage
10-9-17 sensing
10-9-18 drawing
10-9-19 excruciating
10-9-20 restore
10-10-1 newest
10-10-2 heavily
10-10-3 moments
10-10-4 gyrations
10-10-5 quarterstaff
10-10-6 wealthy
10-10-7 obtain
10-10-8 mistaken
10-10-9 cries
10-10-10 mistakes
10-10-11 distant
10-10-12 protecting
10-10-13 dais
10-10-14 mysterious
10-10-15 ushered
10-10-16 disturbance
10-10-17 console
10-10-18 pursues
10-10-19 drive
10-10-20 sky
10-11-1 lake
10-11-2 day
10-11-3 wes
10-11-4 arrest
10-11-5 add
10-11-6 lured
10-11-7 silently
10-11-8 villagers
10-11-9 unprecedented
10-11-10 match
10-11-11 fate
10-11-12 disappearance
10-11-13 masquerade
10-11-14 mitaka
10-11-15 crushed
10-11-16 livid
10-11-17 increases
10-11-18 whatever
10-11-19 resolves
10-11-20 immediately
10-12-1 tico
10-12-2 loss
10-12-3 trash
10-12-4 necessary
10-12-5 like
10-12-6 lost
10-12-7 ring
10-12-8 ewoks
10-12-9 loses
10-12-10 snootles
10-12-11 hosts
10-12-12 lose
10-12-13 become
10-12-14 works
10-12-15 replacement
10-12-16 now-frozen
10-12-17 traitors
10-12-18 because
10-12-19 sleight
10-12-20 scared
10-13-1 village
10-13-2 searching
10-13-3 alive
10-13-4 self
10-13-5 platforms
10-13-6 infiltrated
10-13-7 proper
10-13-8 home
10-13-9 empire
10-13-10 blade
10-13-11 mother
10-13-12 transport
10-13-13 happens
10-13-14 throughout
10-13-15 lead
10-13-16 literally
10-13-17 avoid
10-13-18 mines
10-13-19 pendant
10-13-20 staccato
10-14-1 does
10-14-2 passion
10-14-3 bustling
10-14-4 naboo
10-14-5 speak
10-14-6 duels
10-14-7 leader
10-14-8 locate
10-14-9 ozzel
10-14-10 reaching
10-14-11 chokes
10-14-12 hurls
10-14-13 lieutenant
10-14-14 murdered
10-14-15 speeders
10-14-16 although
10-14-17 infiltrating
10-14-18 stows
10-14-19 slug
10-14-20 hiding
10-15-1 throne
10-15-2 about
10-15-3 actual
10-15-4 carried
10-15-5 getting
10-15-6 freedom
10-15-7 duo
10-15-8 introduces
10-15-9 likely
10-15-10 carries
10-15-11 sweat
10-15-12 moff
10-15-13 recognizes
10-15-14 emperor
10-15-15 heroics
10-15-16 cadet
10-15-17 own
10-15-18 previously
10-15-19 submits
10-15-20 assess
10-16-1 awakes
10-16-2 guard
10-16-3 promise
10-16-4 brush
10-16-5 nower
10-16-6 philiosophy
10-16-7 uncontrollably
10-16-8 placed
10-16-9 additional
10-16-10 beacon
10-16-11 transfer
10-16-12 housing
10-16-13 cantina
10-16-14 spots
10-16-15 captains
10-16-16 appo
10-16-17 i-class
10-16-18 luminara
10-16-19 tracker
10-16-20 resists
10-17-1 notices
10-17-2 cliff
10-17-3 function
10-17-4 buy
10-17-5 electrostaff
10-17-6 but
10-17-7 blaming
10-17-8 reminds
10-17-9 tasked
10-17-10 construction
10-17-11 gain
10-17-12 aayla
10-17-13 grate
10-17-14 delivers
10-17-15 activating
10-17-16 partially
10-17-17 count
10-17-18 made
10-17-19 wise
10-17-20 places
10-18-1 chained
10-18-2 whether
10-18-3 dangerous
10-18-4 gravitational
10-18-5 backfires
10-18-6 distract
10-18-7 corpses
10-18-8 record
10-18-9 below
10-18-10 converted
10-18-11 padmé
10-18-12 demonstrate
10-18-13 problem
10-18-14 piece
10-18-15 supreme
10-18-16 rieekan
10-18-17 deaths
10-18-18 stuck-up
10-18-19 received
10-18-20 kisses
10-19-1 enlists
10-19-2 gamorrean
10-19-3 consumed
10-19-4 seduces
10-19-5 ki-adi-mundi
10-19-6 partly
10-19-7 mysteriously
10-19-8 pit
10-19-9 proceeds
10-19-10 jukassa
10-19-11 balcony
10-19-12 planting
10-19-13 rumors
10-19-14 nonetheless
10-19-15 deadly
10-19-16 gray-hulled
10-19-17 claiming
10-19-18 forests
10-19-19 lately
10-19-20 smears
10-20-1 other
10-20-2 guarantee
10-20-3 witness
10-20-4 welcomes
10-20-5 reckless
10-20-6 disposing
10-20-7 lance
10-20-8 junk
10-20-9 star
10-20-10 living
10-20-11 class
10-20-12 june
10-20-13 sustains
10-20-14 stay
10-20-15 chance
10-20-16 medenine
10-20-17 else
10-20-18 friends
10-20-19 exposure
10-20-20 ghost
11-1-1 aided
11-1-2 child
11-1-3 foul
11-1-4 four
11-1-5 woods
11-1-6 sleep
11-1-7 hanging
11-1-8 captain
11-1-9 saved
11-1-10 bestowing
11-1-11 demotes
11-1-12 disobeying
11-1-13 opulence
11-1-14 uscru
11-1-15 presents
11-1-16 fingernails
11-1-17 bike
11-1-18 under
11-1-19 lord
11-1-20 pride
11-2-1 speeder
11-2-2 lure
11-2-3 lack
11-2-4 rescue
11-2-5 wroshyr
11-2-6 blanket
11-2-7 rise
11-2-8 every
11-2-9 yellow
11-2-10 blasters
11-2-11 gunray
11-2-12 vasp
11-2-13 month
11-2-14 bringing
11-2-15 encounter
11-2-16 starships
11-2-17 doubts
11-2-18 jacket
11-2-19 disfiguring
11-2-20 skills
11-3-1 cause
11-3-2 satchel
11-3-3 magnaguard
11-3-4 red
11-3-5 relics
11-3-6 sub-chamber
11-3-7 inaction
11-3-8 stuns
11-3-9 commented
11-3-10 plaza
11-3-11 parted
11-3-12 irises
11-3-13 force
11-3-14 leaders
11-3-15 corvette
11-3-16 warns
11-3-17 fit
11-3-18 direct
11-3-19 surrounding
11-3-20 second
11-4-1 persuade
11-4-2 charted
11-4-3 haako
11-4-4 rigorous
11-4-5 available
11-4-6 levitate
11-4-7 janson
11-4-8 monster
11-4-9 even
11-4-10 lesser
11-4-11 solemn
11-4-12 galen
11-4-13 beaten
11-4-14 while
11-4-15 liberty
11-4-16 lights
11-4-17 dangles
11-4-18 above
11-4-19 toll
11-4-20 new
11-5-1 net
11-5-2 ever
11-5-3 admiral
11-5-4 seeks
11-5-5 told
11-5-6 million
11-5-7 simultaneously
11-5-8 screams
11-5-9 whose
11-5-10 men
11-5-11 retrieval
11-5-12 hundreds
11-5-13 met
11-5-14 protection
11-5-15 plutt
11-5-16 pursuit
11-5-17 chewbacca
11-5-18 path
11-5-19 stares
11-5-20 meditates
11-6-1 mccallum
11-6-2 celebration
11-6-3 obtained
11-6-4 property
11-6-5 daughter
11-6-6 mechanic
11-6-7 hideously
11-6-8 leaves
11-6-9 settles
11-6-10 groveling
11-6-11 piercing
11-6-12 reports
11-6-13 ignoring
11-6-14 calculations
11-6-15 smoke
11-6-16 bunker
11-6-17 confides
11-6-18 high-security
11-6-19 hyperfuel
11-6-20 secura
11-7-1 secure
11-7-2 slicer
11-7-3 slices
11-7-4 implode
11-7-5 angrily
11-7-6 charred
11-7-7 feelings
11-7-8 brought
11-7-9 patience
11-7-10 moral
11-7-11 guests
11-7-12 padawan
11-7-13 actions
11-7-14 unit
11-7-15 plot
11-7-16 criminals
11-7-17 would
11-7-18 army
11-7-19 dispatches
11-7-20 achieve
11-8-1 arms
11-8-2 princess
11-8-3 leaks
11-8-4 noting
11-8-5 music
11-8-6 lightsaber
11-8-7 strike
11-8-8 indiana
11-8-9 until
11-8-10 slaughtered
11-8-11 breathe
11-8-12 tolerated
11-8-13 involvement
11-8-14 saber
11-8-15 wary
11-8-16 clearly
11-8-17 brings
11-8-18 expose
11-8-19 wars
11-8-20 aware
11-9-1 warn
11-9-2 binary
11-9-3 adult
11-9-4 breaths
11-9-5 separates
11-9-6 allies
11-9-7 midst
11-9-8 hold
11-9-9 casualties
11-9-10 must
11-9-11 shoot
11-9-12 rook
11-9-13 join
11-9-14 room
11-9-15 darklighter
11-9-16 shame
11-9-17 pursue
11-9-18 work
11-9-19 refusing
11-9-20 movies
11-10-1 itself
11-10-2 temperatures
11-10-3 separatists
11-10-4 latches
11-10-5 guise
11-10-6 endor
11-10-7 salvage
11-10-8 example
11-10-9 fortress
11-10-10 chancellor
11-10-11 ingenuity
11-10-12 flung
11-10-13 laughs
11-10-14 exile
11-10-15 caution
11-10-16 want
11-10-17 vulnerability
11-10-18 times
11-10-19 overpowered
11-10-20 ceremony
11-11-1 end
11-11-2 stand-off
11-11-3 x-wing
11-11-4 generals
11-11-5 provide
11-11-6 agony
11-11-7 travel
11-11-8 sitting
11-11-9 damage
11-11-10 recovers
11-11-11 how
11-11-12 force-sensitive
11-11-13 polis
11-11-14 gate
11-11-15 nute
11-11-16 truthful
11-11-17 massive
11-11-18 badly
11-11-19 pokes
11-11-20 beauty
11-12-1 after
11-12-2 containing
11-12-3 jumping
11-12-4 destined
11-12-5 cement
11-12-6 repeats
11-12-7 attempt
11-12-8 third
11-12-9 thire
11-12-10 maximillian
11-12-11 wins
11-12-12 grant
11-12-13 acknowledged
11-12-14 descends
11-12-15 alias
11-12-16 scout
11-12-17 upside
11-12-18 ultimate
11-12-19 goodbye
11-12-20 enter
11-13-1 worst
11-13-2 overtakes
11-13-3 order
11-13-4 thirty
11-13-5 senators
11-13-6 office
11-13-7 deck
11-13-8 welcomed
11-13-9 wound
11-13-10 over
11-13-11 fall
11-13-12 expects
11-13-13 oolin
11-13-14 jinn
11-13-15 foodstuff
11-13-16 zev
11-13-17 detonators
11-13-18 strangle
11-13-19 talkative
11-13-20 bouhlel
11-14-1 survives
11-14-2 before
11-14-3 wickedly
11-14-4 destroyer
11-14-5 reflection
11-14-6 personal
11-14-7 screaming
11-14-8 fix
11-14-9 fleeing
11-14-10 gerrera
11-14-11 crew
11-14-12 destroyed
11-14-13 production
11-14-14 hidden
11-14-15 oola
11-14-16 overcome
11-14-17 snoke
11-14-18 trials
11-14-19 eventually
11-14-20 them
11-15-1 grievous
11-15-2 babies
11-15-3 powerful
11-15-4 at-act
11-15-5 safe
11-15-6 recruit
11-15-7 break
11-15-8 band
11-15-9 sack
11-15-10 they
11-15-11 undeveloped
11-15-12 bank
11-15-13 structural
11-15-14 shadows
11-15-15 demotion
11-15-16 cackling
11-15-17 notified
11-15-18 arrested
11-15-19 explode
11-15-20 sidi
11-16-1 frantically
11-16-2 victories
11-16-3 victory
11-16-4 embankment
11-16-5 each
11-16-6 went
11-16-7 loyalties
11-16-8 operatives
11-16-9 side
11-16-10 notifies
11-16-11 erso
11-16-12 hanger
11-16-13 independent
11-16-14 series
11-16-15 train
11-16-16 impede
11-16-17 husband
11-16-18 solution
11-16-19 used
11-16-20 trading
11-17-1 magnets
11-17-2 stealing
11-17-3 navy
11-17-4 aids
11-17-5 dawn
11-17-6 extract
11-17-7 saturday
11-17-8 large
11-17-9 network
11-17-10 driving
11-17-11 god
11-17-12 tried
11-17-13 vessels
11-17-14 content
11-17-15 laid
11-17-16 fiery
11-17-17 millennium
11-17-18 assignment
11-17-19 got
11-17-20 outburst
11-18-1 assaults
11-18-2 written
11-18-3 hang
11-18-4 threatened
11-18-5 revenge
11-18-6 free
11-18-7 standard
11-18-8 admits
11-18-9 assures
11-18-10 techno
11-18-11 formation
11-18-12 struggle
11-18-13 forcibly
11-18-14 sensors
11-18-15 greeted
11-18-16 midi-chlorians
11-18-17 wrath
11-18-18 ticket
11-18-19 staggers
11-18-20 district
11-19-1 writhing
11-19-2 starts
11-19-3 zuckuss
11-19-4 days
11-19-5 heading
11-19-6 creates
11-19-7 deems
11-19-8 signature
11-19-9 kingdom
11-19-10 arrived
11-19-11 onto
11-19-12 tactics
11-19-13 speeds
11-19-14 teedo
11-19-15 enraged
11-19-16 already
11-19-17 reconnected
11-19-18 playfully
11-19-19 reassure
11-19-20 primary
11-20-1 walkers
11-20-2 detonator
11-20-3 y-wing
11-20-4 another
11-20-5 tangle
11-20-6 antilles
11-20-7 lorth
11-20-8 activities
11-20-9 rejects
11-20-10 top
11-20-11 dumbfounded
11-20-12 tow
11-20-13 approximately
11-20-14 needed
11-20-15 master
11-20-16 too
11-20-17 percentage
11-20-18 legs
